Dataset, algorithm, params, accuracy, precision(avg), recall(avg)

feature_selection/Univariante ROC_AUC/Qualitative deleted/Continuous deleted/Balancing_Oversamlping_SMOTE/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 12}",0.844,0.862,0.844
feature_selection/Univariante ROC_AUC/Qualitative deleted/Continuous deleted/Balancing_Undersampling_Tomeklinks/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7}",0.801,0.842,0.801
feature_selection/Univariante ROC_AUC/Qualitative deleted/Continuous to median/Balancing_Oversamlping_SMOTE/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 12}",0.844,0.862,0.844
feature_selection/Univariante ROC_AUC/Qualitative deleted/Continuous to median/Balancing_Undersampling_Tomeklinks/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7}",0.801,0.842,0.801
feature_selection/Univariante ROC_AUC/Qualitative to mode/Continuous deleted/Balancing_Oversamlping_SMOTE/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 12}",0.843,0.862,0.843
feature_selection/Univariante ROC_AUC/Qualitative to mode/Continuous deleted/Balancing_Undersampling_Tomeklinks/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7}",0.801,0.842,0.801
feature_selection/Univariante ROC_AUC/Qualitative to mode/Continuous to median/Balancing_Oversamlping_SMOTE/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 12}",0.843,0.862,0.843
feature_selection/Univariante ROC_AUC/Qualitative to mode/Continuous to median/Balancing_Undersampling_Tomeklinks/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7}",0.801,0.842,0.801
feature_selection/Correlation/Qualitative deleted/Continuous deleted/Balancing_Oversamlping_SMOTE/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 12}",0.844,0.862,0.844
feature_selection/Correlation/Qualitative deleted/Continuous deleted/Balancing_Undersampling_Tomeklinks/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7}",0.801,0.842,0.801
feature_selection/Correlation/Qualitative deleted/Continuous to median/Balancing_Oversamlping_SMOTE/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 12}",0.844,0.862,0.844
feature_selection/Correlation/Qualitative deleted/Continuous to median/Balancing_Undersampling_Tomeklinks/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7}",0.801,0.842,0.801
feature_selection/Correlation/Qualitative to mode/Continuous deleted/Balancing_Oversamlping_SMOTE/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 12}",0.844,0.862,0.844
feature_selection/Correlation/Qualitative to mode/Continuous deleted/Balancing_Undersampling_Tomeklinks/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7}",0.801,0.842,0.801
feature_selection/Correlation/Qualitative to mode/Continuous to median/Balancing_Oversamlping_SMOTE/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 12}",0.843,0.862,0.843
feature_selection/Correlation/Qualitative to mode/Continuous to median/Balancing_Undersampling_Tomeklinks/Not Normalized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7}",0.801,0.842,0.801


feature_selection/Univariante ROC_AUC/Qualitative deleted/Continuous deleted/Balancing_Oversamlping_SMOTE/Not Normalized,XGBoost,"{'max_depth': 7, 'n_estimators': 100}",0.875,0.898,0.875
feature_selection/Univariante ROC_AUC/Qualitative deleted/Continuous deleted/Balancing_Undersampling_Tomeklinks/Not Normalized,XGBoost,"{'max_depth': 5, 'n_estimators': 100}",0.804,0.828,0.804
feature_selection/Univariante ROC_AUC/Qualitative deleted/Continuous to median/Balancing_Oversamlping_SMOTE/Not Normalized,XGBoost,"{'max_depth': 7, 'n_estimators': 100}",0.875,0.898,0.875
feature_selection/Univariante ROC_AUC/Qualitative deleted/Continuous to median/Balancing_Undersampling_Tomeklinks/Not Normalized,XGBoost,"{'max_depth': 5, 'n_estimators': 100}",0.804,0.828,0.804
feature_selection/Univariante ROC_AUC/Qualitative to mode/Continuous deleted/Balancing_Oversamlping_SMOTE/Not Normalized,XGBoost,"{'max_depth': 7, 'n_estimators': 100}",0.875,0.898,0.875
feature_selection/Univariante ROC_AUC/Qualitative to mode/Continuous deleted/Balancing_Undersampling_Tomeklinks/Not Normalized,XGBoost,"{'max_depth': 5, 'n_estimators': 100}",0.804,0.828,0.804
feature_selection/Univariante ROC_AUC/Qualitative to mode/Continuous to median/Balancing_Oversamlping_SMOTE/Not Normalized,XGBoost,"{'max_depth': 7, 'n_estimators': 100}",0.875,0.898,0.875
feature_selection/Univariante ROC_AUC/Qualitative to mode/Continuous to median/Balancing_Undersampling_Tomeklinks/Not Normalized,XGBoost,"{'max_depth': 5, 'n_estimators': 100}",0.804,0.828,0.804
feature_selection/Correlation/Qualitative deleted/Continuous deleted/Balancing_Oversamlping_SMOTE/Not Normalized,XGBoost,"{'max_depth': 7, 'n_estimators': 100}",0.875,0.898,0.875
feature_selection/Correlation/Qualitative deleted/Continuous deleted/Balancing_Undersampling_Tomeklinks/Not Normalized,XGBoost,"{'max_depth': 5, 'n_estimators': 100}",0.804,0.828,0.804
feature_selection/Correlation/Qualitative deleted/Continuous to median/Balancing_Oversamlping_SMOTE/Not Normalized,XGBoost,"{'max_depth': 7, 'n_estimators': 100}",0.875,0.898,0.875
feature_selection/Correlation/Qualitative deleted/Continuous to median/Balancing_Undersampling_Tomeklinks/Not Normalized,XGBoost,"{'max_depth': 5, 'n_estimators': 100}",0.804,0.828,0.804
feature_selection/Correlation/Qualitative to mode/Continuous deleted/Balancing_Oversamlping_SMOTE/Not Normalized,XGBoost,"{'max_depth': 7, 'n_estimators': 100}",0.875,0.898,0.875
feature_selection/Correlation/Qualitative to mode/Continuous deleted/Balancing_Undersampling_Tomeklinks/Not Normalized,XGBoost,"{'max_depth': 5, 'n_estimators': 100}",0.804,0.828,0.804
feature_selection/Correlation/Qualitative to mode/Continuous to median/Balancing_Oversamlping_SMOTE/Not Normalized,XGBoost,"{'max_depth': 7, 'n_estimators': 100}",0.875,0.898,0.875
feature_selection/Correlation/Qualitative to mode/Continuous to median/Balancing_Undersampling_Tomeklinks/Not Normalized,XGBoost,"{'max_depth': 5, 'n_estimators': 100}",0.804,0.828,0.804


feature_selection/Univariante ROC_AUC/Qualitative deleted/Continuous deleted/Balancing_Oversamlping_SMOTE/Z normalised,KNN,"{'n_neighbors': 7, 'metric': 'manhattan'}",0.818,0.82,0.818
feature_selection/Univariante ROC_AUC/Qualitative deleted/Continuous deleted/Balancing_Undersampling_Tomeklinks/Z normalised,KNN,"{'metric': 'manhattan', 'n_neighbors': 7}",0.779,0.763,0.779
